,JPN,AUS,DEU,FRA,CHE,GBR
2002-05-31,0.042740932257435915,-0.009591831417178787,-0.03231241633682891,-0.03472443351207444,0.004252547834251219,-0.019421720061512326
2002-06-30,-0.0818434573428074,-0.03552539242142927,-0.07721151265134563,-0.08980985640252237,-0.0834785147393472,-0.09487238099821371
2002-07-31,-0.05148950522781015,-0.047211787954433815,-0.11244717443613494,-0.1076974243552089,-0.12788109749661847,-0.09596137724582399
2002-08-31,-0.01835385880156326,0.005806270840987393,-0.008240702734010896,-0.00996978796680914,0.0076863333248007315,-0.004683573475986913
2002-09-30,-0.01521033639323588,-0.05045605662457764,-0.21035491183825328,-0.1540204595388447,-0.08594641559947813,-0.12189847120924713
2002-10-31,-0.056782041402409056,0.0017393221615042975,0.10054415628703572,0.1074223279440576,0.03470820008657971,0.06775476193539798
2002-11-30,0.039299345901281924,-0.015903335626609172,0.022946611864341993,0.04181073530944346,0.04225417267706244,0.02491782166444212
2002-12-31,-0.050255828353457876,-0.022149360609027724,-0.10622836202806929,-0.07337252791977034,-0.08718043333805636,-0.060699797048843096
2003-01-31,-0.02156764884797857,-0.0260299577095624,-0.039291506316692315,-0.046910284356138754,-0.04810753674091017,-0.09666206843904379
2003-02-28,0.0009823727929643145,-0.06526322774228355,-0.058178525725275376,-0.057508177687166984,-0.0501408621561531,0.01838509901149543
2003-03-31,-0.026607581998574492,0.028966780693772565,-0.041998217128642934,-0.048755539057882546,-0.005812212882953971,-0.012534359741843581
2003-04-30,0.019333502744887765,0.036156815099883666,0.17395961602574528,0.1157847773372902,0.13021199922620208,0.08543149202941902
2003-05-31,0.052999097933370876,-0.006825247966310455,0.018663588760869043,0.028391982403807914,0.012366693730706979,0.03584334821606938
2003-06-30,0.08108084556648776,0.006744053487859558,0.06182838374646771,0.029513592517754317,0.03823817438356336,-0.004389314087277385
2003-07-31,0.04394343348799579,0.023361862062182492,0.05660144825336588,0.032304654318214165,0.05046008248996936,0.02712968873237598
2003-08-31,0.0697799129663359,0.016571955641316638,0.006708641152208816,0.0307750037552299,0.024184348100913855,0.005212833197194788
2003-09-30,0.029885226108334884,-0.004985321211717242,-0.050626574279133196,-0.04515543034090652,-0.012719952528940537,-0.022189897477620235
2003-10-31,0.029587193898739317,0.02307964831376208,0.09332437311389041,0.0633437434487889,0.044822157013679864,0.03837672163243622
2003-11-30,-0.0362802238827874,-0.029274142211130894,0.013243519754449373,0.010249139176532918,0.021967790479503035,0.005438724514001292
2003-12-31,0.04657258442730927,0.023055796070112766,0.031766340371341295,0.03021701837566715,0.03017493625046974,0.02014193473301451
2004-01-31,0.008807000248181929,-0.021283040247987328,0.0335505513446559,0.02543762035304331,0.05188364150896374,-0.020659179510945203
2004-02-29,0.03464441482628722,0.014413702656335459,-0.005631654550606768,0.022694673009140076,0.01823088756445801,0.017870828311325138
2004-03-31,0.10164194562291229,0.00799554636120603,-0.033258997466713236,-0.021819942606424503,-0.021042176159556503,-0.022538877145526937
2004-04-30,0.030026605485794944,-0.02176929487937662,0.024912551692902962,0.005968071219135451,0.03350932213723801,0.01368880486611368
2004-05-31,-0.03732911813967599,-0.00292822575413354,-0.01650444865222811,0.006982145937888484,-0.01961350318503685,-0.02453900132378295
2004-06-30,0.050503746168653274,0.018110337080076366,0.025886286386007873,0.023212649824176923,0.010455437458403383,0.002687661326945978
2004-07-31,-0.04006463517981418,-0.00465130864976282,-0.032411610273841984,-0.02065690912864382,-0.015882838305638414,-0.02523856643552347
2004-08-31,-0.0041280991878772655,0.007874912191653483,-0.027563139279865756,-0.010546199223758768,-0.012984057505859292,0.00498890481468095
2004-09-30,-0.01832066808311761,0.024822327034579983,0.022888440486046546,0.012820578258150972,0.011631191640154137,0.015111377592083697
