observation_date,USD,EUR,JPY,GBP,CHF,AUD
2002-04-30,0.0187,0.0340690476190476,0.001,0.0417319,0.0146064661904762,0.045899999999999996
2002-05-31,0.0182,0.034671363636363604,0.0008,0.041537,0.011634938999999995,0.0484
2002-06-30,0.0181,0.03464,0.000899999999999999,0.0417758,0.0114959405,0.0507
2002-07-31,0.0179,0.0341,0.000899999999999999,0.04060539999999999,0.0100306152173913,0.049800000000000004
2002-08-31,0.0173,0.0335190909090909,0.0007000000000000001,0.0398654,0.00668342047619048,0.0496
2002-09-30,0.0176,0.0331014285714286,0.0008,0.0398872,0.00612999095238095,0.0492
2002-10-31,0.0173,0.032612608695652204,0.0008,0.0396401,0.00627853739130435,0.049
2002-11-30,0.0139,0.0312414285714286,0.0008,0.039714200000000005,0.005924978571428569,0.0484
2002-12-31,0.0134,0.029410500000000003,0.001,0.0401777,0.0054338995000000005,0.0483
2003-01-31,0.0129,0.028318181818181798,0.001,0.0398263,0.00508735476190476,0.048
2003-02-28,0.0127,0.026874500000000003,0.000899999999999999,0.0375425,0.0048923735,0.0475
2003-03-31,0.0123,0.0252995238095238,0.0008,0.0365503,0.0023319371428571403,0.047599999999999996
2003-04-30,0.0124,0.0253335,0.0008,0.0364598,0.001737808999999999,0.0479
2003-05-31,0.012199999999999999,0.024005238095238093,0.0008,0.03632519999999999,0.001585084999999999,0.0478
2003-06-30,0.0104,0.0215185714285714,0.000899999999999999,0.0363966,0.0015839464999999988,0.0467
2003-07-31,0.0105,0.0213004347826087,0.000899999999999999,0.0349022,0.0016359952173913,0.0472
2003-08-31,0.0108,0.021404285714285702,0.000899999999999999,0.0352249,0.0015086669999999991,0.0482
2003-09-30,0.0108,0.021473181818181798,0.000899999999999999,0.036967,0.00138722590909091,0.049100000000000005
2003-10-31,0.011000000000000001,0.021435652173912998,0.000899999999999999,0.0380338,0.001291310434782609,0.049699999999999994
2003-11-30,0.0111,0.021590500000000002,0.0008,0.0398043,0.0014283224999999992,0.053099999999999994
2003-12-31,0.011000000000000001,0.0214633333333333,0.001,0.040186400000000004,0.001368285714285709,0.0547
2004-01-31,0.0106,0.0208947619047619,0.000899999999999999,0.0405531,0.001284938999999999,0.0555
2004-02-29,0.0105,0.020705499999999998,0.000899999999999999,0.041665400000000005,0.0014803445000000001,0.0557
2004-03-31,0.0105,0.020288260869565197,0.0008,0.0429673,0.0015829404347826078,0.055099999999999996
2004-04-30,0.0108,0.020487500000000002,0.0008,0.043947200000000006,0.0018674945,0.0554
2004-05-31,0.012,0.020858571428571403,0.0008,0.0452872,0.001823533684210529,0.055099999999999996
2004-06-30,0.0146,0.021126818181818205,0.000899999999999999,0.0478974,0.0032846404545454487,0.054900000000000004
2004-07-31,0.015700000000000002,0.0211604545454546,0.000899999999999999,0.0485702,0.004224013636363638,0.0546
2004-08-31,0.0168,0.0211427272727273,0.000899999999999999,0.049628399999999996,0.00471912181818182,0.054400000000000004
2004-09-30,0.018600000000000002,0.021185909090909096,0.000899999999999999,0.049469000000000006,0.005843776818181819,0.0542
2004-10-31,0.0204,0.021473333333333296,0.000899999999999999,0.0490071,0.00620791047619048,0.0541
2004-11-30,0.0226,0.021703181818181795,0.000899999999999999,0.0488359,0.00648511,0.054299999999999994
2004-12-31,0.0245,0.021731739130434802,0.001,0.048710300000000005,0.006493468636363639,0.0541
2005-01-31,0.026099999999999998,0.0214542857142857,0.001,0.04873160000000001,0.0065106923809523775,0.0542
2005-02-28,0.0277,0.0213835,0.001,0.0489069,0.0067718610000000005,0.056299999999999996
2005-03-31,0.0297,0.0213719047619048,0.0008,0.0498736,0.0066631623809523775,0.0581
2005-04-30,0.030899999999999997,0.021372380952381,0.0008,0.0494336,0.0067295219047619,0.0575
2005-05-31,0.0322,0.0212563636363636,0.0008,0.048937499999999995,0.006706621499999998,0.056799999999999996
2005-06-30,0.0338,0.0211104545454545,0.000899999999999999,0.0484144,0.00672201227272727,0.056600000000000004
2005-07-31,0.035699999999999996,0.021194285714285704,0.000899999999999999,0.0465794,0.0066627638095238095,0.0565
2005-08-31,0.0377,0.021324782608695702,0.000899999999999999,0.045946499999999994,0.00675881090909091,0.0562
2005-09-30,0.0387,0.021391363636363597,0.000899999999999999,0.045968600000000005,0.00674919636363636,0.0562
2005-10-31,0.041299999999999996,0.0219661904761905,0.000899999999999999,0.045870100000000004,0.00722154380952381,0.056299999999999996
2005-11-30,0.0431,0.0236086363636364,0.000899999999999999,0.0461847,0.008655520909090908,0.056299999999999996
2005-12-31,0.044500000000000005,0.024728571428571402,0.001,0.046373199999999996,0.009330752,0.056299999999999996
2006-01-31,0.045599999999999995,0.0251168181818182,0.001035999999999999,0.04603680000000001,0.00924489476190476,0.056299999999999996
2006-02-28,0.0472,0.026003500000000002,0.0011,0.045819900000000004,0.009967605000000001,0.056100000000000004
2006-03-31,0.048799999999999996,0.027226086956521702,0.001255,0.0458741,0.0111319943478261,0.056100000000000004
2006-04-30,0.050300000000000004,0.027937777777777797,0.0014000000000000002,0.046296,0.0117550216666667,0.056900000000000006
2006-05-31,0.051500000000000004,0.02889,0.0027,0.047015,0.0130199257142857,0.0587
2006-06-30,0.0535,0.0298568181818182,0.003499999999999999,0.047349800000000004,0.013727075714285698,0.0596
2006-07-31,0.0546,0.031021904761904803,0.0044,0.04733219999999999,0.014276952857142899,0.0605
2006-08-31,0.0538,0.0322647826086957,0.004319999999999999,0.0494425,0.015230886363636396,0.061900000000000004
